program,file,type,result,time_ms
minicsv,symcc-unsat-30.smt2,unsat,sat,9027
minicsv,symcc-unsat-31.smt2,unsat,sat,7937
minicsv,symcc-unsat-32.smt2,unsat,sat,7390
minicsv,symcc-unsat-33.smt2,unsat,sat,9523
minicsv,symcc-unsat-34.smt2,unsat,sat,9954
minicsv,symcc-unsat-35.smt2,unsat,sat,9300
minicsv,symcc-unsat-36.smt2,unsat,sat,54115
minicsv,symcc-unsat-37.smt2,unsat,sat,9617
minicsv,symcc-unsat-38.smt2,unsat,sat,9435
minicsv,symcc-unsat-39.smt2,unsat,sat,12562
minicsv,symcc-unsat-3.smt2,unsat,sat,4245
minicsv,symcc-unsat-40.smt2,unsat,sat,9439
minicsv,symcc-unsat-41.smt2,unsat,sat,8827
minicsv,symcc-unsat-42.smt2,unsat,sat,26471
minicsv,symcc-unsat-43.smt2,unsat,sat,17026
minicsv,symcc-unsat-44.smt2,unsat,sat,14956
minicsv,symcc-unsat-45.smt2,unsat,sat,11364
minicsv,symcc-unsat-46.smt2,unsat,sat,9539
minicsv,symcc-unsat-47.smt2,unsat,sat,7540
minicsv,symcc-unsat-48.smt2,unsat,sat,7496
minicsv,symcc-unsat-49.smt2,unsat,sat,12761
minicsv,symcc-unsat-4.smt2,unsat,sat,4910
minicsv,symcc-unsat-5.smt2,unsat,sat,3434
minicsv,symcc-unsat-6.smt2,unsat,sat,3370
minicsv,symcc-unsat-7.smt2,unsat,sat,4773
minicsv,symcc-unsat-8.smt2,unsat,sat,4563
minicsv,symcc-unsat-9.smt2,unsat,sat,5211
yuarel,symcc-assertions-0.smt2,sat,sat,33079
yuarel,symcc-assertions-10.smt2,sat,timeout,60120
yuarel,symcc-assertions-11.smt2,sat,sat,12973
yuarel,symcc-assertions-12.smt2,sat,timeout,60262
yuarel,symcc-assertions-13.smt2,sat,unsat,5931
yuarel,symcc-assertions-14.smt2,sat,timeout,60164
yuarel,symcc-assertions-15.smt2,sat,unsat,2513
yuarel,symcc-assertions-16.smt2,sat,timeout,60101
yuarel,symcc-assertions-17.smt2,sat,timeout,60080
yuarel,symcc-assertions-18.smt2,sat,unsat,2975
yuarel,symcc-assertions-19.smt2,sat,timeout,60134
yuarel,symcc-assertions-1.smt2,sat,sat,2166
yuarel,symcc-assertions-20.smt2,sat,timeout,60099
yuarel,symcc-assertions-21.smt2,sat,timeout,60198
yuarel,symcc-assertions-22.smt2,sat,unsat,2895
yuarel,symcc-assertions-23.smt2,sat,unsat,1620
yuarel,symcc-assertions-24.smt2,sat,timeout,60082
yuarel,symcc-assertions-25.smt2,sat,timeout,60297
yuarel,symcc-assertions-26.smt2,sat,unsat,3200
yuarel,symcc-assertions-27.smt2,sat,timeout,60132
yuarel,symcc-assertions-28.smt2,sat,timeout,60058
yuarel,symcc-assertions-29.smt2,sat,unknown,1021
yuarel,symcc-assertions-2.smt2,sat,unsat,1188
yuarel,symcc-assertions-30.smt2,sat,unknown,1198
yuarel,symcc-assertions-31.smt2,sat,unknown,1090
yuarel,symcc-assertions-32.smt2,sat,unknown,1663
yuarel,symcc-assertions-33.smt2,sat,unknown,1342
yuarel,symcc-assertions-34.smt2,sat,unknown,1114
yuarel,symcc-assertions-35.smt2,sat,unknown,1163
yuarel,symcc-assertions-36.smt2,sat,unknown,1416
yuarel,symcc-assertions-37.smt2,sat,unknown,2034
yuarel,symcc-assertions-38.smt2,sat,unknown,1196
yuarel,symcc-assertions-39.smt2,sat,unknown,1195
yuarel,symcc-assertions-3.smt2,sat,sat,36447
yuarel,symcc-assertions-40.smt2,sat,unknown,1090
yuarel,symcc-assertions-41.smt2,sat,unknown,1036
yuarel,symcc-assertions-42.smt2,sat,unknown,1420
yuarel,symcc-assertions-43.smt2,sat,unknown,1777
yuarel,symcc-assertions-44.smt2,sat,unknown,2731
yuarel,symcc-assertions-45.smt2,sat,unknown,1298
yuarel,symcc-assertions-46.smt2,sat,unknown,1238
yuarel,symcc-assertions-47.smt2,sat,unknown,1422
yuarel,symcc-assertions-48.smt2,sat,unknown,1183
yuarel,symcc-assertions-49.smt2,sat,unknown,1282
yuarel,symcc-assertions-4.smt2,sat,unsat,1344
yuarel,symcc-assertions-5.smt2,sat,sat,4571
yuarel,symcc-assertions-6.smt2,sat,sat,6533
yuarel,symcc-assertions-7.smt2,sat,timeout,60078
yuarel,symcc-assertions-8.smt2,sat,sat,12175
yuarel,symcc-assertions-9.smt2,sat,timeout,60094
