program,file,type,result,time_ms
yuarel,symcc-unsat-29.smt2,unsat,unknown,1859
yuarel,symcc-unsat-2.smt2,unsat,sat,12510
yuarel,symcc-unsat-30.smt2,unsat,unknown,1978
yuarel,symcc-unsat-31.smt2,unsat,unknown,1858
yuarel,symcc-unsat-32.smt2,unsat,unknown,2051
yuarel,symcc-unsat-33.smt2,unsat,unknown,1868
yuarel,symcc-unsat-34.smt2,unsat,unknown,1956
yuarel,symcc-unsat-35.smt2,unsat,unknown,2230
yuarel,symcc-unsat-36.smt2,unsat,unknown,2080
yuarel,symcc-unsat-37.smt2,unsat,unknown,2110
yuarel,symcc-unsat-38.smt2,unsat,unknown,1796
yuarel,symcc-unsat-39.smt2,unsat,unknown,2073
yuarel,symcc-unsat-3.smt2,unsat,timeout,60108
yuarel,symcc-unsat-40.smt2,unsat,unknown,3802
yuarel,symcc-unsat-41.smt2,unsat,unknown,3559
yuarel,symcc-unsat-42.smt2,unsat,unknown,3241
yuarel,symcc-unsat-43.smt2,unsat,unknown,3809
yuarel,symcc-unsat-44.smt2,unsat,unknown,3822
yuarel,symcc-unsat-45.smt2,unsat,unknown,2422
yuarel,symcc-unsat-46.smt2,unsat,unknown,2844
yuarel,symcc-unsat-47.smt2,unsat,unknown,2570
yuarel,symcc-unsat-48.smt2,unsat,unknown,2004
yuarel,symcc-unsat-49.smt2,unsat,unknown,2084
yuarel,symcc-unsat-4.smt2,unsat,sat,22508
yuarel,symcc-unsat-50.smt2,unsat,unknown,1968
yuarel,symcc-unsat-51.smt2,unsat,unknown,2508
yuarel,symcc-unsat-52.smt2,unsat,unknown,2384
yuarel,symcc-unsat-53.smt2,unsat,unknown,3524
yuarel,symcc-unsat-54.smt2,unsat,unknown,2378
